year,importer1,importer2,flow1,flow2
2016,Murder,Murder,304,0
2016,Murder,NegManslaughter,2,12
2016,Murder,RapeSexAssault,17,35
2016,Murder,Robbery,67,214
2016,Murder,Assault,120,269
2016,Murder,OtherViolent,26,32
2016,Murder,Burglary,49,144
2016,Murder,Larceny,33,60
2016,Murder,AutoTheft,24,118
2016,Murder,Fraud,12,21
2016,Murder,OtherProperty,18,68
2016,Murder,Drugs,245,465
2016,Murder,PublicOrder,134,332
2016,Murder,Other,5,16
2016,Murder,None,22927,0
2016,NegManslaughter,NegManslaughter,37,0
2016,NegManslaughter,RapeSexAssault,8,5
2016,NegManslaughter,Robbery,19,27
2016,NegManslaughter,Assault,44,49
2016,NegManslaughter,OtherViolent,20,13
2016,NegManslaughter,Burglary,14,34
2016,NegManslaughter,Larceny,21,28
2016,NegManslaughter,AutoTheft,11,20
2016,NegManslaughter,Fraud,3,7
2016,NegManslaughter,OtherProperty,9,14
2016,NegManslaughter,Drugs,70,80
2016,NegManslaughter,PublicOrder,67,62
2016,NegManslaughter,Other,1,1
2016,NegManslaughter,None,7240,0
2016,RapeSexAssault,RapeSexAssault,524,0
2016,RapeSexAssault,Robbery,137,203
2016,RapeSexAssault,Assault,255,192
2016,RapeSexAssault,OtherViolent,60,63
2016,RapeSexAssault,Burglary,165,251
2016,RapeSexAssault,Larceny,91,98
2016,RapeSexAssault,AutoTheft,51,88
2016,RapeSexAssault,Fraud,57,39
2016,RapeSexAssault,OtherProperty,67,88
2016,RapeSexAssault,Drugs,441,400
2016,RapeSexAssault,PublicOrder,739,270
2016,RapeSexAssault,Other,3,8
2016,RapeSexAssault,None,51041,0
2016,Robbery,Robbery,2729,0
2016,Robbery,Assault,1108,826
2016,Robbery,OtherViolent,262,161
2016,Robbery,Burglary,1114,1180
2016,Robbery,Larceny,723,670
2016,Robbery,AutoTheft,416,924
2016,Robbery,Fraud,196,161
2016,Robbery,OtherProperty,277,374
2016,Robbery,Drugs,2803,2073
2016,Robbery,PublicOrder,1470,1200
2016,Robbery,Other,27,62
2016,Robbery,None,93657,0
2016,Assault,Assault,2920,0
2016,Assault,OtherViolent,523,394
2016,Assault,Burglary,759,1107
2016,Assault,Larceny,365,643
2016,Assault,AutoTheft,399,691
2016,Assault,Fraud,114,182
2016,Assault,OtherProperty,272,441
2016,Assault,Drugs,1989,2692
2016,Assault,PublicOrder,2067,1971
2016,Assault,Other,17,51
2016,Assault,None,98015,0
2016,OtherViolent,OtherViolent,286,0
2016,OtherViolent,Burglary,210,1107
2016,OtherViolent,Larceny,100,643
2016,OtherViolent,AutoTheft,85,691
2016,OtherViolent,Fraud,31,182
2016,OtherViolent,OtherProperty,82,441
2016,OtherViolent,Drugs,507,2692
2016,OtherViolent,PublicOrder,412,1971
2016,OtherViolent,Other,5,51
2016,OtherViolent,None,24612,0
2016,Burglary,Burglary,4650,0
2016,Burglary,Larceny,1345,1258
2016,Burglary,AutoTheft,702,889
2016,Burglary,Fraud,353,388
2016,Burglary,OtherProperty,685,747
2016,Burglary,Drugs,2503,2405
2016,Burglary,PublicOrder,1552,1066
2016,Burglary,Other,33,61
2016,Burglary,None,106123,0
2016,Larceny,Larceny,1979,0
2016,Larceny,AutoTheft,295,409
2016,Larceny,Fraud,242,290
2016,Larceny,OtherProperty,312,354
2016,Larceny,Drugs,1400,1406
2016,Larceny,PublicOrder,726,457
2016,Larceny,Other,11,32
2016,Larceny,None,64774,0
2016,AutoTheft,AutoTheft,1172,0
2016,AutoTheft,Fraud,159,107
2016,AutoTheft,OtherProperty,314,317
2016,AutoTheft,Drugs,1158,1022
2016,AutoTheft,PublicOrder,1102,633
2016,AutoTheft,Other,12,19
2016,AutoTheft,None,40167,0
2016,Fraud,Fraud,416,0
2016,Fraud,OtherProperty,135,141
2016,Fraud,Drugs,493,563
2016,Fraud,PublicOrder,300,203
2016,Fraud,Other,10,11
2016,Fraud,None,29477,0
2016,OtherProperty,OtherProperty,448,0
2016,OtherProperty,Drugs,832,777
2016,OtherProperty,PublicOrder,628,365
2016,OtherProperty,Other,10,11
2016,OtherProperty,None,28620,0
2016,Drugs,Drugs,16096,0
2016,Drugs,PublicOrder,4087,2895
2016,Drugs,Other,100,149
2016,Drugs,None,367057,0
2016,PublicOrder,PublicOrder,6603,0
2016,PublicOrder,Other,40,40
2016,PublicOrder,None,117793,0
2016,Other,Other,9,0
2016,Other,None,7769,0
